"type","datetime","month","week","date","hour","count","update_reason","view_gap","duplicate_posts","url","title","Days_Old","author","author_link","repost_count","reply_count","delete_count","last_active"
"post","2025/02/06 14:00:00","2502","0206","06","14.0","0.0","","","","","","","","","","","",""
"post","2025/02/06 15:00:00","2502","0206","06","15.0","0.0","","","","","","","","","","","",""
"post","2025/02/06 16:00:00","2502","0206","06","16.0","0.0","","","","","","","","","","","",""
"post","2025/02/06 17:00:00","2502","0206","06","17.0","0.0","","","","","","","","","","","",""
"post","2025/02/06 18:00:00","2502","0206","06","18.0","0.0","","","","","","","","","","","",""
"post","2025/02/06 19:00:00","2502","0206","06","19.0","0.0","","","","","","","","","","","",""
"post","2025/02/06 20:00:00","2502","0206","06","20.0","0.0","","","","","","","","","","","",""
"post","2025/02/06 21:00:00","2502","0206","06","21.0","0.0","","","","","","","","","","","",""
"post","2025/02/06 22:00:00","2502","0206","06","22.0","0.0","","","","","","","","","","","",""
"post","2025/02/06 23:00:00","2502","0206","06","23.0","0.0","","","","","","","","","","","",""
"post","2025/02/07 00:00:00","2502","0207","07","0.0","21.0","","","","","","","","","","","",""
"post","2025/02/07 01:00:00","2502","0207","07","1.0","0.0","","","","","","","","","","","",""
"post","2025/02/07 02:00:00","2502","0207","07","2.0","0.0","","","","","","","","","","","",""
"post","2025/02/07 03:00:00","2502","0207","07","3.0","0.0","","","","","","","","","","","",""
"post","2025/02/07 04:00:00","2502","0207","07","4.0","0.0","","","","","","","","","","","",""
"post","2025/02/07 05:00:00","2502","0207","07","5.0","0.0","","","","","","","","","","","",""
"post","2025/02/07 06:00:00","2502","0207","07","6.0","0.0","","","","","","","","","","","",""
"post","2025/02/07 07:00:00","2502","0207","07","7.0","0.0","","","","","","","","","","","",""
"post","2025/02/07 08:00:00","2502","0207","07","8.0","0.0","","","","","","","","","","","",""
"post","2025/02/07 09:00:00","2502","0207","07","9.0","0.0","","","","","","","","","","","",""
"post","2025/02/07 10:00:00","2502","0207","07","10.0","0.0","","","","","","","","","","","",""
"post","2025/02/07 11:00:00","2502","0207","07","11.0","0.0","","","","","","","","","","","",""
"post","2025/02/07 12:00:00","2502","0207","07","12.0","0.0","","","","","","","","","","","",""
"post","2025/02/07 13:00:00","2502","0207","07","13.0","0.0","","","","","","","","","","","",""
"post","2025/02/07 14:00:00","2502","0207","07","14.0","0.0","","","","","","","","","","","",""
"post","2025/02/07 15:00:00","2502","0207","07","15.0","0.0","","","","","","","","","","","",""
"post","2025/02/07 16:00:00","2502","0207","07","16.0","0.0","","","","","","","","","","","",""
"post","2025/02/07 17:00:00","2502","0207","07","17.0","0.0","","","","","","","","","","","",""
"post","2025/02/07 18:00:00","2502","0207","07","18.0","0.0","","","","","","","","","","","",""
"post","2025/02/07 19:00:00","2502","0207","07","19.0","0.0","","","","","","","","","","","",""
"post","2025/02/07 20:00:00","2502","0207","07","20.0","0.0","","","","","","","","","","","",""
"post","2025/02/07 21:00:00","2502","0207","07","21.0","0.0","","","","","","","","","","","",""
"post","2025/02/07 22:00:00","2502","0207","07","22.0","0.0","","","","","","","","","","","",""
"post","2025/02/07 23:00:00","2502","0207","07","23.0","0.0","","","","","","","","","","","",""
"post","2025/02/08 00:00:00","2502","0208","08","0.0","1.0","","","","","","","","","","","",""
"post","2025/02/08 01:00:00","2502","0208","08","1.0","0.0","","","","","","","","","","","",""
"post","2025/02/08 02:00:00","2502","0208","08","2.0","0.0","","","","","","","","","","","",""
"post","2025/02/08 03:00:00","2502","0208","08","3.0","0.0","","","","","","","","","","","",""
"post","2025/02/08 04:00:00","2502","0208","08","4.0","0.0","","","","","","","","","","","",""
"post","2025/02/08 05:00:00","2502","0208","08","5.0","0.0","","","","","","","","","","","",""
"post","2025/02/08 06:00:00","2502","0208","08","6.0","0.0","","","","","","","","","","","",""
"post","2025/02/08 07:00:00","2502","0208","08","7.0","0.0","","","","","","","","","","","",""
"post","2025/02/08 08:00:00","2502","0208","08","8.0","1.0","","","","","","","","","","","",""
"post","2025/02/08 09:00:00","2502","0208","08","9.0","2.0","","","","","","","","","","","",""
"post","2025/02/08 10:00:00","2502","0208","08","10.0","3.0","","","","","","","","","","","",""
"post","2025/02/08 11:00:00","2502","0208","08","11.0","2.0","","","","","","","","","","","",""
"post","2025/02/08 12:00:00","2502","0208","08","12.0","0.0","","","","","","","","","","","",""
"post","2025/02/08 13:00:00","2502","0208","08","13.0","0.0","","","","","","","","","","","",""
"post","2025/02/08 14:00:00","2502","0208","08","14.0","1.0","","","","","","","","","","","",""
"post","2025/02/08 15:00:00","2502","0208","08","15.0","0.0","","","","","","","","","","","",""
"post","2025/02/08 16:00:00","2502","0208","08","16.0","0.0","","","","","","","","","","","",""
"post","2025/02/08 17:00:00","2502","0208","08","17.0","0.0","","","","","","","","","","","",""
"post","2025/02/08 18:00:00","2502","0208","08","18.0","0.0","","","","","","","","","","","",""
"post","2025/02/08 19:00:00","2502","0208","08","19.0","0.0","","","","","","","","","","","",""
"post","2025/02/08 20:00:00","2502","0208","08","20.0","0.0","","","","","","","","","","","",""
"post","2025/02/08 21:00:00","2502","0208","08","21.0","0.0","","","","","","","","","","","",""
"post","2025/02/08 22:00:00","2502","0208","08","22.0","0.0","","","","","","","","","","","",""
"post","2025/02/08 23:00:00","2502","0208","08","23.0","0.0","","","","","","","","","","","",""
"post","2025/02/09 00:00:00","2502","0209","09","0.0","2.0","","","","","","","","","","","",""
"post","2025/02/09 01:00:00","2502","0209","09","1.0","1.0","","","","","","","","","","","",""
"post","2025/02/09 02:00:00","2502","0209","09","2.0","0.0","","","","","","","","","","","",""
"post","2025/02/09 03:00:00","2502","0209","09","3.0","0.0","","","","","","","","","","","",""
"post","2025/02/09 04:00:00","2502","0209","09","4.0","0.0","","","","","","","","","","","",""
"post","2025/02/09 05:00:00","2502","0209","09","5.0","1.0","","","","","","","","","","","",""
"post","2025/02/09 06:00:00","2502","0209","09","6.0","0.0","","","","","","","","","","","",""
"post","2025/02/09 07:00:00","2502","0209","09","7.0","0.0","","","","","","","","","","","",""
"post","2025/02/09 08:00:00","2502","0209","09","8.0","0.0","","","","","","","","","","","",""
"post","2025/02/09 09:00:00","2502","0209","09","9.0","0.0","","","","","","","","","","","",""
"post","2025/02/09 10:00:00","2502","0209","09","10.0","1.0","","","","","","","","","","","",""
"post","2025/02/09 11:00:00","2502","0209","09","11.0","0.0","","","","","","","","","","","",""
"post","2025/02/09 12:00:00","2502","0209","09","12.0","2.0","","","","","","","","","","","",""
"post","2025/02/09 13:00:00","2502","0209","09","13.0","3.0","","","","","","","","","","","",""
"post","2025/02/09 14:00:00","2502","0209","09","14.0","4.0","","","","","","","","","","","",""
"post","2025/02/09 15:00:00","2502","0209","09","15.0","0.0","","","","","","","","","","","",""
"post","2025/02/09 16:00:00","2502","0209","09","16.0","0.0","","","","","","","","","","","",""
"post","2025/02/09 17:00:00","2502","0209","09","17.0","1.0","","","","","","","","","","","",""
"post","2025/02/09 18:00:00","2502","0209","09","18.0","0.0","","","","","","","","","","","",""
"post","2025/02/09 19:00:00","2502","0209","09","19.0","2.0","","","","","","","","","","","",""
"post","2025/02/09 20:00:00","2502","0209","09","20.0","0.0","","","","","","","","","","","",""
"post","2025/02/09 21:00:00","2502","0209","09","21.0","0.0","","","","","","","","","","","",""
"post","2025/02/09 22:00:00","2502","0209","09","22.0","6.0","","","","","","","","","","","",""
"post","2025/02/09 23:00:00","2502","0209","09","23.0","1.0","","","","","","","","","","","",""
"post","2025/02/10 00:00:00","2502","0210","10","0.0","1.0","","","","","","","","","","","",""
"post","2025/02/10 01:00:00","2502","0210","10","1.0","0.0","","","","","","","","","","","",""
"post","2025/02/10 02:00:00","2502","0210","10","2.0","0.0","","","","","","","","","","","",""
"post","2025/02/10 03:00:00","2502","0210","10","3.0","0.0","","","","","","","","","","","",""
"post","2025/02/10 04:00:00","2502","0210","10","4.0","0.0","","","","","","","","","","","",""
"post","2025/02/10 05:00:00","2502","0210","10","5.0","0.0","","","","","","","","","","","",""
"post","2025/02/10 06:00:00","2502","0210","10","6.0","1.0","","","","","","","","","","","",""
"post","2025/02/10 07:00:00","2502","0210","10","7.0","0.0","","","","","","","","","","","",""
"post","2025/02/10 08:00:00","2502","0210","10","8.0","1.0","","","","","","","","","","","",""
"post","2025/02/10 09:00:00","2502","0210","10","9.0","4.0","","","","","","","","","","","",""
"post","2025/02/10 10:00:00","2502","0210","10","10.0","7.0","","","","","","","","","","","",""
"post","2025/02/10 11:00:00","2502","0210","10","11.0","1.0","","","","","","","","","","","",""
"post","2025/02/10 12:00:00","2502","0210","10","12.0","1.0","","","","","","","","","","","",""
"post","2025/02/10 13:00:00","2502","0210","10","13.0","2.0","","","","","","","","","","","",""
"post","2025/02/10 14:00:00","2502","0210","10","14.0","2.0","","","","","","","","","","","",""
"post","2025/02/10 15:00:00","2502","0210","10","15.0","3.0","","","","","","","","","","","",""
"post","2025/02/10 16:00:00","2502","0210","10","16.0","1.0","","","","","","","","","","","",""
"post","2025/02/10 17:00:00","2502","0210","10","17.0","0.0","","","","","","","","","","","",""
"post","2025/02/10 18:00:00","2502","0210","10","18.0","2.0","","","","","","","","","","","",""
"post","2025/02/10 19:00:00","2502","0210","10","19.0","0.0","","","","","","","","","","","",""
"post","2025/02/10 20:00:00","2502","0210","10","20.0","1.0","","","","","","","","","","","",""
"post","2025/02/10 21:00:00","2502","0210","10","21.0","2.0","","","","","","","","","","","",""
"post","2025/02/10 22:00:00","2502","0210","10","22.0","1.0","","","","","","","","","","","",""
"post","2025/02/10 23:00:00","2502","0210","10","23.0","0.0","","","","","","","","","","","",""
"post","2025/02/11 00:00:00","2502","0211","11","0.0","0.0","","","","","","","","","","","",""
"post","2025/02/11 01:00:00","2502","0211","11","1.0","1.0","","","","","","","","","","","",""
"post","2025/02/11 02:00:00","2502","0211","11","2.0","0.0","","","","","","","","","","","",""
"post","2025/02/11 03:00:00","2502","0211","11","3.0","0.0","","","","","","","","","","","",""
"post","2025/02/11 04:00:00","2502","0211","11","4.0","0.0","","","","","","","","","","","",""
"post","2025/02/11 05:00:00","2502","0211","11","5.0","0.0","","","","","","","","","","","",""
"post","2025/02/11 06:00:00","2502","0211","11","6.0","0.0","","","","","","","","","","","",""
"post","2025/02/11 07:00:00","2502","0211","11","7.0","0.0","","","","","","","","","","","",""
"post","2025/02/11 08:00:00","2502","0211","11","8.0","1.0","","","","","","","","","","","",""
"post","2025/02/11 09:00:00","2502","0211","11","9.0","0.0","","","","","","","","","","","",""
"post","2025/02/11 10:00:00","2502","0211","11","10.0","1.0","","","","","","","","","","","",""
"post","2025/02/11 11:00:00","2502","0211","11","11.0","2.0","","","","","","","","","","","",""
"post","2025/02/11 12:00:00","2502","0211","11","12.0","2.0","","","","","","","","","","","",""
"post","2025/02/11 13:00:00","2502","0211","11","13.0","1.0","","","","","","","","","","","",""
"post","2025/02/11 14:00:00","2502","0211","11","14.0","1.0","","","","","","","","","","","",""
"post","2025/02/11 15:00:00","2502","0211","11","15.0","3.0","","","","","","","","","","","",""
"post","2025/02/11 16:00:00","2502","0211","11","16.0","4.0","","","","","","","","","","","",""
"post","2025/02/11 17:00:00","2502","0211","11","17.0","0.0","","","","","","","","","","","",""
"post","2025/02/11 18:00:00","2502","0211","11","18.0","1.0","","","","","","","","","","","",""
"post","2025/02/11 19:00:00","2502","0211","11","19.0","0.0","","","","","","","","","","","",""
"post","2025/02/11 20:00:00","2502","0211","11","20.0","0.0","","","","","","","","","","","",""
"post","2025/02/11 21:00:00","2502","0211","11","21.0","1.0","","","","","","","","","","","",""
"post","2025/02/11 22:00:00","2502","0211","11","22.0","1.0","","","","","","","","","","","",""
"post","2025/02/11 23:00:00","2502","0211","11","23.0","1.0","","","","","","","","","","","",""
"post","2025/02/12 00:00:00","2502","0212","12","0.0","0.0","","","","","","","","","","","",""
"post","2025/02/12 01:00:00","2502","0212","12","1.0","0.0","","","","","","","","","","","",""
"post","2025/02/12 02:00:00","2502","0212","12","2.0","0.0","","","","","","","","","","","",""
"post","2025/02/12 03:00:00","2502","0212","12","3.0","0.0","","","","","","","","","","","",""
"post","2025/02/12 04:00:00","2502","0212","12","4.0","0.0","","","","","","","","","","","",""
"post","2025/02/12 05:00:00","2502","0212","12","5.0","0.0","","","","","","","","","","","",""
"post","2025/02/12 06:00:00","2502","0212","12","6.0","1.0","","","","","","","","","","","",""
"post","2025/02/12 07:00:00","2502","0212","12","7.0","1.0","","","","","","","","","","","",""
"post","2025/02/12 08:00:00","2502","0212","12","8.0","1.0","","","","","","","","","","","",""
"post","2025/02/12 09:00:00","2502","0212","12","9.0","1.0","","","","","","","","","","","",""
"post","2025/02/12 10:00:00","2502","0212","12","10.0","10.0","","","","","","","","","","","",""
"post","2025/02/12 11:00:00","2502","0212","12","11.0","1.0","","","","","","","","","","","",""
"post","2025/02/12 12:00:00","2502","0212","12","12.0","2.0","","","","","","","","","","","",""
"post","2025/02/12 13:00:00","2502","0212","12","13.0","4.0","","","","","","","","","","","",""
"post","2025/02/12 14:00:00","2502","0212","12","14.0","1.0","","","","","","","","","","","",""
"post","2025/02/12 15:00:00","2502","0212","12","15.0","0.0","","","","","","","","","","","",""
"post","2025/02/12 16:00:00","2502","0212","12","16.0","4.0","","","","","","","","","","","",""
"post","2025/02/12 17:00:00","2502","0212","12","17.0","3.0","","","","","","","","","","","",""
"post","2025/02/12 18:00:00","2502","0212","12","18.0","1.0","","","","","","","","","","","",""
"post","2025/02/12 19:00:00","2502","0212","12","19.0","2.0","","","","","","","","","","","",""
"post","2025/02/12 20:00:00","2502","0212","12","20.0","0.0","","","","","","","","","","","",""
"post","2025/02/12 21:00:00","2502","0212","12","21.0","0.0","","","","","","","","","","","",""
"post","2025/02/12 22:00:00","2502","0212","12","22.0","0.0","","","","","","","","","","","",""
"post","2025/02/12 23:00:00","2502","0212","12","23.0","0.0","","","","","","","","","","","",""
"post","2025/02/13 00:00:00","2502","0213","13","0.0","0.0","","","","","","","","","","","",""
"post","2025/02/13 01:00:00","2502","0213","13","1.0","0.0","","","","","","","","","","","",""
"post","2025/02/13 02:00:00","2502","0213","13","2.0","0.0","","","","","","","","","","","",""
"post","2025/02/13 03:00:00","2502","0213","13","3.0","0.0","","","","","","","","","","","",""
"post","2025/02/13 04:00:00","2502","0213","13","4.0","0.0","","","","","","","","","","","",""
"post","2025/02/13 05:00:00","2502","0213","13","5.0","0.0","","","","","","","","","","","",""
"post","2025/02/13 06:00:00","2502","0213","13","6.0","1.0","","","","","","","","","","","",""
"post","2025/02/13 07:00:00","2502","0213","13","7.0","0.0","","","","","","","","","","","",""
"post","2025/02/13 08:00:00","2502","0213","13","8.0","1.0","","","","","","","","","","","",""
"post","2025/02/13 09:00:00","2502","0213","13","9.0","0.0","","","","","","","","","","","",""
"post","2025/02/13 10:00:00","2502","0213","13","10.0","5.0","","","","","","","","","","","",""
"post","2025/02/13 11:00:00","2502","0213","13","11.0","3.0","","","","","","","","","","","",""
"post","2025/02/13 12:00:00","2502","0213","13","12.0","1.0","","","","","","","","","","","",""
"post","2025/02/13 13:00:00","2502","0213","13","13.0","1.0","","","","","","","","","","","",""
"post","2025/02/13 14:00:00","2502","0213","13","14.0","2.0","","","","","","","","","","","",""
"post","2025/02/13 15:00:00","2502","0213","13","15.0","4.0","","","","","","","","","","","",""
"post","2025/02/13 16:00:00","2502","0213","13","16.0","0.0","","","","","","","","","","","",""
"post","2025/02/13 17:00:00","2502","0213","13","17.0","4.0","","","","","","","","","","","",""
"post","2025/02/13 18:00:00","2502","0213","13","18.0","0.0","","","","","","","","","","","",""
"post","2025/02/13 19:00:00","2502","0213","13","19.0","0.0","","","","","","","","","","","",""
"post","2025/02/13 20:00:00","2502","0213","13","20.0","1.0","","","","","","","","","","","",""
"post","2025/02/13 21:00:00","2502","0213","13","21.0","0.0","","","","","","","","","","","",""
"post","2025/02/13 22:00:00","2502","0213","13","22.0","1.0","","","","","","","","","","","",""
"post","2025/02/13 23:00:00","2502","0213","13","23.0","1.0","","","","","","","","","","","",""
"post","2025/02/14 00:00:00","2502","0214","14","0.0","0.0","","","","","","","","","","","",""
"post","2025/02/14 01:00:00","2502","0214","14","1.0","0.0","","","","","","","","","","","",""
"post","2025/02/14 02:00:00","2502","0214","14","2.0","0.0","","","","","","","","","","","",""
"post","2025/02/14 03:00:00","2502","0214","14","3.0","0.0","","","","","","","","","","","",""
"post","2025/02/14 04:00:00","2502","0214","14","4.0","0.0","","","","","","","","","","","",""
"post","2025/02/14 05:00:00","2502","0214","14","5.0","0.0","","","","","","","","","","","",""
"post","2025/02/14 06:00:00","2502","0214","14","6.0","0.0","","","","","","","","","","","",""
"post","2025/02/14 07:00:00","2502","0214","14","7.0","0.0","","","","","","","","","","","",""
"post","2025/02/14 08:00:00","2502","0214","14","8.0","0.0","","","","","","","","","","","",""
"post","2025/02/14 09:00:00","2502","0214","14","9.0","3.0","","","","","","","","","","","",""
"post","2025/02/14 10:00:00","2502","0214","14","10.0","1.0","","","","","","","","","","","",""
"post","2025/02/14 11:00:00","2502","0214","14","11.0","2.0","","","","","","","","","","","",""
"post","2025/02/14 12:00:00","2502","0214","14","12.0","6.0","","","","","","","","","","","",""
"post","2025/02/14 13:00:00","2502","0214","14","13.0","0.0","","","","","","","","","","","",""
"post","2025/02/14 14:00:00","2502","0214","14","14.0","1.0","","","","","","","","","","","",""
"post","2025/02/14 15:00:00","2502","0214","14","15.0","4.0","","","","","","","","","","","",""
"post","2025/02/14 16:00:00","2502","0214","14","16.0","1.0","","","","","","","","","","","",""
"post","2025/02/14 17:00:00","2502","0214","14","17.0","1.0","","","","","","","","","","","",""
"post","2025/02/14 18:00:00","2502","0214","14","18.0","2.0","","","","","","","","","","","",""
"post","2025/02/14 19:00:00","2502","0214","14","19.0","0.0","","","","","","","","","","","",""
"post","2025/02/14 20:00:00","2502","0214","14","20.0","4.0","","","","","","","","","","","",""
"post","2025/02/14 21:00:00","2502","0214","14","21.0","2.0","","","","","","","","","","","",""
"post","2025/02/14 22:00:00","2502","0214","14","22.0","1.0","","","","","","","","","","","",""
"post","2025/02/14 23:00:00","2502","0214","14","23.0","0.0","","","","","","","","","","","",""
"post","2025/02/15 00:00:00","2502","0215","15","0.0","0.0","","","","","","","","","","","",""
"post","2025/02/15 01:00:00","2502","0215","15","1.0","2.0","","","","","","","","","","","",""
"post","2025/02/15 02:00:00","2502","0215","15","2.0","0.0","","","","","","","","","","","",""
"post","2025/02/15 03:00:00","2502","0215","15","3.0","0.0","","","","","","","","","","","",""
"post","2025/02/15 04:00:00","2502","0215","15","4.0","0.0","","","","","","","","","","","",""
"post","2025/02/15 05:00:00","2502","0215","15","5.0","0.0","","","","","","","","","","","",""
"post","2025/02/15 06:00:00","2502","0215","15","6.0","0.0","","","","","","","","","","","",""
"post","2025/02/15 07:00:00","2502","0215","15","7.0","0.0","","","","","","","","","","","",""
"post","2025/02/15 08:00:00","2502","0215","15","8.0","1.0","","","","","","","","","","","",""
"post","2025/02/15 09:00:00","2502","0215","15","9.0","2.0","","","","","","","","","","","",""
"post","2025/02/15 10:00:00","2502","0215","15","10.0","3.0","","","","","","","","","","","",""
"post","2025/02/15 11:00:00","2502","0215","15","11.0","2.0","","","","","","","","","","","",""
"post","2025/02/15 12:00:00","2502","0215","15","12.0","1.0","","","","","","","","","","","",""
"post","2025/02/15 13:00:00","2502","0215","15","13.0","1.0","","","","","","","","","","","",""
"post","2025/02/15 14:00:00","2502","0215","15","14.0","4.0","","","","","","","","","","","",""
"post","2025/02/15 15:00:00","2502","0215","15","15.0","3.0","","","","","","","","","","","",""
"post","2025/02/15 16:00:00","2502","0215","15","16.0","1.0","","","","","","","","","","","",""
"post","2025/02/15 17:00:00","2502","0215","15","17.0","1.0","","","","","","","","","","","",""
"post","2025/02/15 18:00:00","2502","0215","15","18.0","0.0","","","","","","","","","","","",""
"post","2025/02/15 19:00:00","2502","0215","15","19.0","0.0","","","","","","","","","","","",""
"post","2025/02/15 20:00:00","2502","0215","15","20.0","3.0","","","","","","","","","","","",""
"post","2025/02/15 21:00:00","2502","0215","15","21.0","0.0","","","","","","","","","","","",""
"post","2025/02/15 22:00:00","2502","0215","15","22.0","2.0","","","","","","","","","","","",""
"post","2025/02/15 23:00:00","2502","0215","15","23.0","0.0","","","","","","","","","","","",""
"post","2025/02/16 00:00:00","2502","0216","16","0.0","0.0","","","","","","","","","","","",""
"post","2025/02/16 01:00:00","2502","0216","16","1.0","1.0","","","","","","","","","","","",""
"post","2025/02/16 02:00:00","2502","0216","16","2.0","0.0","","","","","","","","","","","",""
"post","2025/02/16 03:00:00","2502","0216","16","3.0","0.0","","","","","","","","","","","",""
"post","2025/02/16 04:00:00","2502","0216","16","4.0","0.0","","","","","","","","","","","",""
"post","2025/02/16 05:00:00","2502","0216","16","5.0","0.0","","","","","","","","","","","",""
"post","2025/02/16 06:00:00","2502","0216","16","6.0","0.0","","","","","","","","","","","",""
"post","2025/02/16 07:00:00","2502","0216","16","7.0","1.0","","","","","","","","","","","",""
"post","2025/02/16 08:00:00","2502","0216","16","8.0","0.0","","","","","","","","","","","",""
"post","2025/02/16 09:00:00","2502","0216","16","9.0","1.0","","","","","","","","","","","",""
"post","2025/02/16 10:00:00","2502","0216","16","10.0","1.0","","","","","","","","","","","",""
"post","2025/02/16 11:00:00","2502","0216","16","11.0","1.0","","","","","","","","","","","",""
"post","2025/02/16 12:00:00","2502","0216","16","12.0","0.0","","","","","","","","","","","",""
"post","2025/02/16 13:00:00","2502","0216","16","13.0","0.0","","","","","","","","","","","",""
"post","2025/02/16 14:00:00","2502","0216","16","14.0","1.0","","","","","","","","","","","",""
"post","2025/02/16 15:00:00","2502","0216","16","15.0","2.0","","","","","","","","","","","",""
"post","2025/02/16 16:00:00","2502","0216","16","16.0","2.0","","","","","","","","","","","",""
"post","2025/02/16 17:00:00","2502","0216","16","17.0","0.0","","","","","","","","","","","",""
"post","2025/02/16 18:00:00","2502","0216","16","18.0","2.0","","","","","","","","","","","",""
"post","2025/02/16 19:00:00","2502","0216","16","19.0","0.0","","","","","","","","","","","",""
"post","2025/02/16 20:00:00","2502","0216","16","20.0","0.0","","","","","","","","","","","",""
"post","2025/02/16 21:00:00","2502","0216","16","21.0","1.0","","","","","","","","","","","",""
"post","2025/02/16 22:00:00","2502","0216","16","22.0","1.0","","","","","","","","","","","",""
"post","2025/02/16 23:00:00","2502","0216","16","23.0","0.0","","","","","","","","","","","",""
"post","2025/02/17 00:00:00","2502","0217","17","0.0","0.0","","","","","","","","","","","",""
"post","2025/02/17 01:00:00","2502","0217","17","1.0","0.0","","","","","","","","","","","",""
"post","2025/02/17 02:00:00","2502","0217","17","2.0","0.0","","","","","","","","","","","",""
"post","2025/02/17 03:00:00","2502","0217","17","3.0","0.0","","","","","","","","","","","",""
"post","2025/02/17 04:00:00","2502","0217","17","4.0","0.0","","","","","","","","","","","",""
"post","2025/02/17 05:00:00","2502","0217","17","5.0","1.0","","","","","","","","","","","",""
"post","2025/02/17 06:00:00","2502","0217","17","6.0","0.0","","","","","","","","","","","",""
"post","2025/02/17 07:00:00","2502","0217","17","7.0","0.0","","","","","","","","","","","",""
"post","2025/02/17 08:00:00","2502","0217","17","8.0","2.0","","","","","","","","","","","",""
"post","2025/02/17 09:00:00","2502","0217","17","9.0","2.0","","","","","","","","","","","",""
"post","2025/02/17 10:00:00","2502","0217","17","10.0","5.0","","","","","","","","","","","",""
"post","2025/02/17 11:00:00","2502","0217","17","11.0","3.0","","","","","","","","","","","",""
"post","2025/02/17 12:00:00","2502","0217","17","12.0","4.0","","","","","","","","","","","",""
"post","2025/02/17 13:00:00","2502","0217","17","13.0","2.0","","","","","","","","","","","",""
"post","2025/02/17 14:00:00","2502","0217","17","14.0","2.0","","","","","","","","","","","",""
"post","2025/02/17 15:00:00","2502","0217","17","15.0","2.0","","","","","","","","","","","",""
"post","2025/02/17 16:00:00","2502","0217","17","16.0","0.0","","","","","","","","","","","",""
"post","2025/02/17 17:00:00","2502","0217","17","17.0","4.0","","","","","","","","","","","",""
"post","2025/02/17 18:00:00","2502","0217","17","18.0","1.0","","","","","","","","","","","",""
